word,drift_rate
in,0.49493454898388284
a,0.45788546423043763
it,0.3955108387749823
be,0.3570588128862165
as,0.45646412451753343
was,0.44921944652160495
he,0.38252835499657384
i,0.29280192746381895
have,0.36239357040428044
at,0.32241012306979633
are,0.3479358295012623
or,0.401688622269361
who,0.3466640838225136
an,0.31782535043573085
so,0.43042492661086823
one,0.36419188622278226
will,0.34235771072004717
no,0.33928056205256857
may,0.30348737944793686
more,0.2798566870372139
there,0.27630907995293125
time,0.33979726370519187
can,0.30028573128445
great,0.31094926601640127
me,0.2819258827006863
its,0.3498960711968332
much,0.2723904900571017
same,0.35357134825839137
god,0.19385717489823565
two,0.2595909753146664
being,0.40702039481060337
out,0.30780752916759085
do,0.24763067777872685
well,0.36362175280555414
us,0.28669969812012963
country,0.25459093968887303
might,0.31217859433494566
king,0.2412432129567255
people,0.2840958144872062
make,0.30432033236147477
good,0.25677041841744497
now,0.36682589063577126
state,0.24344425215041243
found,0.3224727066031887
day,0.2618682907734831
power,0.2386208596058349
nature,0.28326142863572285
years,0.1901407078977008
then,0.3952872244524343
whole,0.2919624215468737
give,0.26009731966496874
little,0.30804120405385216
general,0.2646508533975204
even,0.42374296590251315
take,0.26835881083027185
three,0.2329017518458179
manner,0.26564177392345134
present,0.3223252400230217
year,0.20336890562843807
am,0.21832023943508927
lord,0.19483403849577868
over,0.252815865000593
mind,0.24567285409369521
given,0.2948847052557248
know,0.2387418676376494
name,0.21889943566610898
england,0.24441091585769154
subject,0.26344619069871905
law,0.21594397950305644
think,0.27070572216161404
nothing,0.2959030678912023
account,0.2726612095126901
war,0.20698317134579683
death,0.23169100802278517
church,0.18637506589620498
far,0.27832933765430196
last,0.3090130835039656
use,0.2702341373826211
like,0.3312818821199542
see,0.2768272805574074
put,0.27498708689201934
hundred,0.16889582860366556
means,0.25989312488286764
right,0.2100164438338946
water,0.1918392595057324
government,0.23041419365461352
few,0.2404649578327509
come,0.26796196361116814
less,0.24474296458349565
say,0.26591837703042986
thought,0.324128274351075
still,0.3115617074374974
till,0.26617860961802403
public,0.22840690447242468
work,0.2746371351144568
find,0.27537921682033517
christ,0.1867632863002202
france,0.2144633882979241
common,0.27215865514813303
while,0.3894972744463625
left,0.25301832180854533
age,0.194088040071686
cause,0.23333245260675728
least,0.32172212845247017
here,0.29093436236608083
let,0.2542652238573191
thousand,0.20081904751062815
army,0.2010128271884234
four,0.21160634821896343
act,0.20719040570576824
opinion,0.23780542679778197
best,0.23419404852382728
spirit,0.22810158956253931
small,0.24958307377917702
city,0.23187945809582525
true,0.2717661815868853
kind,0.303236976178128
does,0.25537608660714806
father,0.23118496026621557
son,0.19197998313295342
degree,0.19698480472733884
old,0.25682048141662434
truth,0.2387917049044252
french,0.2332767236754234
peace,0.1964295875444526
course,0.2920945108887536
love,0.22680661596181179
above,0.2420132954316463
better,0.2608508757798089
heart,0.2158921593700369
purpose,0.23289685547208183
go,0.23445949859653337
sent,0.22835034161920884
large,0.24374408888327234
religion,0.21911783127519505
town,0.23723773626147313
character,0.2605084418283999
english,0.24492622619131021
kingdom,0.23948506487533494
following,0.22274111678345224
high,0.22640113143808366
half,0.2441226279951226
history,0.2088815318339888
view,0.25224206249947073
authority,0.23565167794741196
sir,0.19350889251741174
laws,0.1976898558611475
money,0.20143459543742895
letter,0.19290226840617164
thus,0.4102198892334603
enemy,0.21660185370292853
respect,0.2591688021198369
twenty,0.19110679342099396
five,0.21436564164084562
second,0.25879908884242714
natural,0.26668369315846463
force,0.22043886611656865
particular,0.3049807704265949
hope,0.23041870010284918
word,0.22579398527963074
interest,0.21234192522164957
nation,0.265767861977271
family,0.22432218374913973
matter,0.27125364285861847
children,0.20591508461377908
distance,0.20218896420205248
sense,0.2345850451347448
parliament,0.2330040567139681
conduct,0.23442805655580068
honour,0.21677715722527569
attention,0.2015476114648255
friends,0.2166098850502132
possible,0.27220969087137054
air,0.20299017096648778
justice,0.21308801876925673
length,0.2285882195329118
author,0.2671101387702233
arms,0.23318874943742465
period,0.20269541094265475
occasion,0.23295856768405232
reign,0.19268424987890057
regard,0.2939264193845728
duty,0.21638210672388924
states,0.24370067632915787
full,0.27106024081612456
six,0.20361625299593158
language,0.21749387569309486
night,0.2066888103274879
leave,0.26578401506034866
liberty,0.23776206542542813
care,0.2144052892761991
pleasure,0.240045558943697
circumstances,0.21980380444049524
action,0.24091903143071428
principles,0.19949802204184594
equal,0.22308294858739228
friend,0.21321488660980703
prince,0.29082486770819094
short,0.2629906282838434
ancient,0.22418958894930202
doubt,0.26246185148310897
society,0.2371992801013664
north,0.20852247094832901
question,0.21593103256505394
inhabitants,0.23124415639731377
duke,0.22982291696262652
idea,0.24578077660365505
london,0.23238176359513205
company,0.2266551220796825
eyes,0.21157443928846173
blood,0.17607734064659508
nations,0.247220736157247
possession,0.21555327780917663
miles,0.14814747888951102
troops,0.19074811961861635
master,0.24646464255321385
majesty,0.21888603157814204
situation,0.2275627975908183
west,0.23924724513655135
back,0.244935293390215
enough,0.2577625254219525
lost,0.24869523635582216
party,0.23569457375419026
keep,0.23171321113533866
faith,0.2250090827766294
trade,0.20819626934677196
making,0.28936691159456884
read,0.23462772659979775
danger,0.2192692463390257
value,0.21763364408619318
produce,0.2272179680622993
answer,0.2179252723265868
ten,0.24059678608640891
subjects,0.25679946471638104
pay,0.20962096132661914
want,0.2327656496099201
influence,0.2168436900505733
art,0.23703367119800642
business,0.23511107530276584
command,0.21222899305243084
advantage,0.24379207201172734
rome,0.23822682282512103
virtue,0.2745791911971677
britain,0.23927450091757935
